"Sl.
No.",State\UT,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
1.,Andhra Pr.,12.37,8.28,6.63,13.72,11.46,9.53,17.92,22.00,11.78,15.14,17.03,13.25,8.43,12.85,13.08,15.10,13.27,15.89,8.80,NA
2.,Arunachal Pr.,10.86,17.74,-1.57,14.34,20.48,7.65,9.40,17.09,18.23,31.42,20.70,19.44,13.41,16.22,23.17,3.06,7.22,13.04,9.68,NA
3.,Assam,5.69,4.07,13.30,8.98,11.05,11.21,8.94,9.87,14.07,18.38,17.41,11.73,9.56,13.31,10.11,16.47,11.59,13.49,12.24,NA
4.,Bihar,14.09,0.72,12.67,1.86,11.30,6.05,22.12,12.85,25.16,14.51,24.94,19.51,14.25,12.30,8.15,8.35,13.65,14.78,15.01,NA
5.,Jharkhand,-6.50,9.27,8.26,11.80,20.91,11.53,25.28,20.01,20.83,2.47,20.18,20.90,12.30,16.52,6.91,2.83,12.02,11.57,9.66,NA
6.,Goa,6.75,5.03,14.13,14.83,23.45,12.70,15.33,18.41,29.90,14.61,15.38,28.72,-10.02,-5.77,33.11,15.14,15.27,11.08,9.41,NA
7.,Gujarat,1.16,11.19,14.53,18.76,12.52,20.34,15.92,16.07,11.73,17.22,20.93,14.82,17.69,11.47,14.13,11.63,13.43,13.79,13.09,NA
8.,Haryana,13.25,12.58,10.72,14.25,12.91,13.66,18.23,17.76,20.40,22.51,16.56,14.61,16.63,15.05,9.49,13.35,13.34,15.67,13.02,13.27
9.,Himachal Pr.,10.98,9.49,10.25,9.61,11.32,12.67,11.60,12.19,22.14,16.17,19.22,13.06,13.89,14.42,9.51,10.09,9.97,11.92,8.94,NA
10.,J & K,6.64,8.02,12.68,9.19,9.33,9.58,11.06,11.64,14.06,14.34,20.02,17.41,11.35,9.73,2.87,19.11,7.01,9.61,12.34,NA
11.,Karnataka,7.03,4.14,7.13,8.36,19.27,1.91,9.91,25.42,4.58,14.61,26.50,6.55,15.77,7.92,15.89,-5.45,14.34,16.93,11.34,NA
12.,Kerala,5.05,7.25,11.51,11.28,14.03,17.49,15.99,19.10,14.66,8.78,21.67,10.84,14.75,17.44,11.91,14.36,15.69,11.67,13.70,NA
13.,Madhya Pr.,-1.16,9.52,0.10,18.43,3.86,14.74,12.38,13.89,15.78,14.41,13.70,18.54,13.26,12.79,10.22,9.64,12.97,10.50,11.41,NA
14.,Chattisgarh,-5.15,14.29,10.00,19.42,12.34,10.05,16.34,11.69,22.17,15.35,15.75,15.86,20.71,15.37,9.21,12.76,19.89,12.24,11.13,NA
15.,Maharashtra,1.80,8.29,9.62,13.73,13.42,17.16,20.08,17.16,10.10,13.50,22.60,11.53,14.00,13.02,7.85,10.51,11.31,10.19,NA,NA
16.,Manipur,-4.54,8.26,4.07,13.49,14.80,11.40,7.33,10.53,9.08,11.56,10.70,21.31,6.42,17.75,12.03,7.73,9.03,11.93,10.13,NA
17.,Meghalaya,10.70,13.05,6.36,10.85,9.94,10.76,18.72,12.87,19.33,9.40,14.75,17.94,9.81,4.87,1.29,8.10,9.24,12.21,11.69,12.08
18.,Mizoram,12.06,12.09,11.25,7.34,5.59,10.78,10.74,15.99,19.94,14.92,21.44,7.86,15.20,23.10,31.24,12.06,13.56,12.43,15.07,19.44
19.,Nagaland,21.31,16.86,12.46,7.72,6.80,12.83,10.15,11.27,16.85,11.56,11.70,17.86,15.97,17.64,10.77,6.10,11.26,12.75,11.40,NA
20.,Orissa,0.85,7.85,6.32,22.72,17.48,9.48,19.68,26.94,14.87,9.73,21.22,11.67,13.30,13.29,6.00,4.55,19.79,10.47,14.05,7.66
21.,Punjab,11.19,6.61,3.31,9.53,7.29,12.18,17.02,19.76,14.32,13.48,14.53,13.34,11.67,11.56,6.91,9.85,9.46,12.10,10.13,NA
22.,Rajasthan,-0.34,11.33,-3.51,26.04,5.08,11.34,20.25,13.90,18.54,15.10,27.28,22.41,13.50,11.65,11.73,10.69,11.63,9.78,12.86,8.32
23.,Sikkim,13.17,12.03,12.32,12.07,12.03,14.61,8.43,15.96,28.85,89.93,20.85,20.17,10.51,12.35,11.14,17.05,14.71,13.57,14.00,NA
24.,Tamil Nadu,9.40,1.41,6.24,10.89,15.40,17.73,20.44,12.98,14.40,19.53,21.92,14.07,13.75,13.30,10.75,9.68,10.72,12.22,13.84,11.46
25,Telangana,NA,NA,NA,NA,NA,20.44,17.20,20.07,24.22,7.46,29.67,15.81,11.73,12.45,12.02,14.24,13.92,14.40,14.33,12.61
26.,Tripura,12.99,15.84,5.70,12.15,9.88,10.35,11.07,8.09,15.05,13.48,16.00,11.79,12.78,18.14,15.40,21.68,9.86,12.00,13.97,NA
27.,Uttar Pradesh,3.63,4.82,8.72,9.73,9.64,12.39,14.72,13.89,16.10,17.70,14.69,14.19,13.58,14.34,7.60,12.45,13.40,13.19,14.23,7.57
28.,Uttarakhand,14.90,9.14,16.73,10.64,16.05,20.91,22.78,24.63,22.18,26.25,18.72,16.54,14.12,13.27,8.29,9.74,10.14,14.20,10.35,NA
29.,West Bengal,6.17,9.34,6.91,12.65,10.66,10.35,13.65,14.45,14.18,16.65,15.56,14.61,13.64,14.44,6.09,11.03,9.44,14.56,17.81,NA
30.,A & N islands,5.32,9.40,13.49,13.36,9.91,12.74,24.17,17.81,16.39,18.39,5.41,14.99,11.13,13.60,9.05,10.12,13.33,15.14,NA,NA
31.,Chandigarh,15.77,14.52,17.54,14.97,18.82,19.77,20.53,11.35,12.18,14.63,13.86,14.05,15.13,14.87,6.96,10.27,11.81,18.41,11.52,NA
32.,Delhi,8.88,8.15,9.74,11.36,15.84,15.00,17.52,16.49,20.00,14.82,16.14,13.59,13.84,13.43,11.45,11.32,11.76,12.10,12.98,NA
33.,Pondicherry,19.44,10.22,15.78,10.28,-4.65,38.63,4.49,10.99,8.64,22.43,6.40,11.98,12.23,15.87,3.22,17.91,11.11,11.46,11.21,11.31
